ติดอันดับดัชนี DJSI ต่อเนื่อง 3 ปี	pos
ดีด 4% หลังคว้างาน “โฮมโปร” 2 โครงการ กว่า 162 ลบ.	pos
3 หุ้นเรือวิ่งฉิว! รับดัชนี ทะลุ 1,500 จุด-จีนเปิดประเทศ	pos
โบรกอัพเป้าใหม่ 21 บ. คาดปี 66 รายได้ทะลุ 1.1 พันล้าน โกยกำไรเพิ่ม 24%	pos
บวก 3% โบรกเคาะเป้า 150 บ. ชี้กำไร Q4 โต 41% ดันทั้งปีทะลุ 120 ลบ.	pos
รายได้ค่าระวางเรือหด! กดกำไร Q3 เหลือ 1.35 พันลบ.	neg
งานเข้า “อย.” ตรวจเจอ “สี CI 15585” ผสมเครื่องสำอาง	neg
ร่วง 4% กังวล “สเปรดเบนซิน” ย่อตัวตามดีมานด์	neg
จับตากลุ่มผู้ถือหุ้นใหญ่ ฮาร์ดเซลล์บิ๊กล็อต 1.15 พันลบ. ต่ำกระดาน 29%	neg
เกลียด ชอบหลอกให้สั่งซื้อ ที่ไหนได้ไม่มีสิ้นค้า	neg
สินค้าด้อยคุณภาพ	neg
สินค้าหมดทำไมไม่แจ้งขึ้นว่าหมดอะ.กดใส่ตะกร้าไปเถอะ.เซ็งเรย	neg
อย่าทำแบบนี้กับใครอีกนะค่ะแย่มากค่ะ	neg
คือเเบบผิดหวังมาก เเย่ที่สุดได้ของมาฝาเเตก เเตกนิดหน่อยไม่ว่าเเตกเยอะมาก ครั้งเดียวพอจบเเยก😢	neg
ส่งช้าจัง รอนานมาก ยกเลิกก้อไม่ได้	neg
แย่มากกกกกกค่ะ เอาของพังมาให้ฉุนมาดค่ะไม่พอใจเป็นอย่างมากค่ะ. ส่งของ ก็ไม่ได้ใบเสร็จ. ไม่ไหวจะเคลียร์	neg
ไม่แนะนำซื้อมาใช้ได้วันเดียวใช้ไม่ได้แล้ว	neg
แย่ๆสั่งสินค้าไปหลายวันแล้วไม่ส่งให้สักทีเหนื่อยกับการรอคอย	neg
เสียความรู้สึกอย่างมาก สวยแต่ในรูปใส่ได้ครั้งเดียว ไม่ดี	neg
ยอดเยี่ยมค่ะ ราคาเหมาะสม บอกต่อได้เลยค่ะ	pos
สวยค่ะ เหมือนในรูปเลย ชอบค่ะ ส่งของไวมากก	pos
ใช้ดีค่ะหน้านุ่มและขาวขึ้น	pos
จัดส่งเร็วมาก สะดวกดี ของจริงขนาดใหญ่กว่าที่คิดไว้ แต่ใช้งานได้ดี	pos
ชอบสินค้ามาก ไม่ผิดหวังที่รอ สวยยังบรรจุภัณฑ์คับ	pos
สินค้าส่งรวดเร็ว พอใจในสินค้าครับ	pos
สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ	pos
ราคากับคุณภาพของสินค้ามีความเหมาะสม ใช้งานง่าย	pos
ส่งของไว ห่อพัสดุดี  ของใช้งานเยี่ยม	pos
สวยค่ะ การจัดส่งก็รวดเร็วดีค่ะ	pos
ใช้เดือนเดียวพังแย่ๆมากๆ	neg
เสียใจความรู้สึกมากกระเป๋าบางมากไม่ตรงกะแบบสินค้าที่ลงการแพ็คของส่งก็แย่เอาถุงดำที่ใส่ขยะแถมสกปรกมากทำไมไม่ตรวจสอบก่อนส่งถึงมือลูกค้าเราไปซื้อของคุณนะไม่ได้ไปขอฟรีๆปรับปรุงด่วน!!!! 	neg
การส่งของแย่มาก ขนาดตะโกนว่ารอเดี๋ยว ยังโยนสินค้าข้ามรั้ว ถ้าโน้ตบุคเสียหายจะทำยังไง	neg
ใช้ในรถระบบเสีย พังใช้ต่อไม่ได้	neg
